SN	z	ez	mb emb	x1	ex1	c	ec	t2	et2
2004gs 0.027 0.001 16.886 0.027 -1.682 0.056 0.126 0.022 22.2920030804 0.362607796654
2004gu 0.047 0.001 17.162 0.025 1.32 0.116 0.059 0.021 35.9426735668 1.442
2005M 0.023 0.001 15.645 0.025 1.17 0.063 -0.021 0.02 30.93 0.7
2005al 0.012 0.001 14.611 0.037 -1.183 0.056 -0.09 0.022 25.338 1.11414
2005el 0.015 0.001 14.589 0.062 -1.212 0.077 -0.141 0.025 24.6372053141 0.6405
2005eq 0.029 0.001 16.002 0.046 1.232 0.107 -0.023 0.023 35.0 0.7
2005iq 0.034 0.001 16.498 0.023 -1.001 0.074 -0.108 0.021 24.1944522565 0.7
2005na 0.027 0.001 15.684 0.048 -0.584 0.062 -0.096 0.023 32.6935 0.482
2006ax 0.017 0.001 14.744 0.034 0.122 0.049 -0.097 0.02 32.0017 0.626
2006bh 0.011 0.001 14.089 0.025 -1.545 0.058 -0.064 0.021 22.889351152 0.309471723914
2006kf 0.021 0.001 15.662 0.12 -1.827 0.09 -0.049 0.037 24.1967066507 0.817528666654
2007as 0.018 0.001 15.183 0.082 -0.89 0.082 -0.094 0.027 24.51628 3.513
2007nq 0.044 0.001 17.149 0.03 -1.784 0.09 -0.019 0.024 23.69277 1.508007
2008hv 0.014 0.001 14.46 0.028 -1.26 0.064 -0.072 0.021 24.68 0.28847
2008ia 0.023 0.001 15.702 0.103 -1.308 0.081 -0.029 0.032 25.5825971065 0.163895832072
2004ey 0.016 0.001 14.468 0.071 0.051 0.042 -0.103 0.025 29.4219 0.1356
2005hc 0.045 0.001 17.046 0.025 0.691 0.088 -0.023 0.021 36.466 2.538
2005ki 0.02 0.001 15.275 0.028 -1.349 0.056 -0.101 0.022 25.168 1.658
2006et 0.022 0.001 15.702 0.023 0.676 0.07 0.13 0.02 32.424 1.465
2008bc 0.016 0.001 14.178 0.166 0.43 0.058 -0.146 0.044 33.3314 0.227
2008gp 0.033 0.001 16.175 0.063 -0.178 0.054 -0.073 0.025 35.713 0.808
2008R 0.013 0.001 14.968 0.045 -2.0 0.084 0.036 0.025 14.096 0.7407
